id,name,generic_name,trade_name,synonym
20000108,Urea 5% in 0.02%Triamcinolone Cream 1 g,Triamcinolone and Urea,Urea in Triamcinolone,
20000115,Acetar 1000 mL (P),Acetate ringer’s injection,Acetar,
20000116,Acetar  500 mL (P),Acetate ringer’s injection,Acetar,
20000118,Acetylcysteine Granule 100 mg (ส้ม) [Mysoven],Acetylcysteine,Mysoven,acetylcysteine (INN)
20000119,Acetylcysteine Granule 200 mg (เขียว) [Mysoven],Acetylcysteine,Mysoven,acetylcysteine (INN)
20000120,Cleansing Liquid 100 mL [Acne Aid],Cleanser (anti-Acne preparations),Acne Aid,
20000121,"Hib,H. Influenzae type B Vaccine 0.5 mL [Act-Hib]",H. influenzae B (purified antigen conj.),Act-HIB,
20000122,Alteplase Inj 50 mg + Set [Actilyse],Alteplase,Actilyse,"rtPA, alteplase (INN)"
20000123,Insulin regular Inj 10 mL [Actrapid HM],Insulin regular,Actrapid HM,
20000130,Pioglitazone Tab 15 mg [Actos],Pioglitazone,Actos,pioglitazone (INN)
20000131,Pioglitazone Tab 30 mg [Actos],Pioglitazone,Actos,pioglitazone (INN)
20000133,Ketorolac Eye Drop 0.5% 5 mL [Acular],Ketorolac,Acular,ketorolac (INN)
20000136,Acyclovir Tab 200 mg [Vilerm],Aciclovir (Acyclovir),Vilerm,"aciclovir (INN), acyclovir (USAN)"
20000137,Acyclovir Tab 400 mg [Vilerm],Aciclovir (Acyclovir),Vilerm,"aciclovir (INN), acyclovir (USAN)"
20000138,Acyclovir Tab 800 mg [Vilerm],Aciclovir (Acyclovir),Vilerm,"aciclovir (INN), acyclovir (USAN)"
20000141,Nifedipine CR Tab 30 mg [Adalat CR],Nifedipine,Adalat CR,"nifedipine (INN), ไนเฟดิปีน (RDU)"
20000143,Nifedipine CR Tab 60 mg [Adalat CR],Nifedipine,Adalat CR,"nifedipine (INN), ไนเฟดิปีน (RDU)"
20000144,Multiple trace element Inj 10 mL [Addamel N],Essential trace elements,Addamel N,
20000145,Potassium chloride (KCl) Tab 750 mg [Addi-K],Potassium chloride,Addi-K,
20000146,Adenosine Inj 6 mg/2 mL [Adenocor],Adenosine,Adenocor,adenosine (INN)
20000148,Adrenaline Inj 1 mg/mL [Adrenaline GPO],Adrenaline (Epinephrine),Adrenaline GPO,"epinephrine (INN, USAN), adrenaline (BAN)"
20000149,Desloratadine Tab 5 mg [Aerius],Desloratadine,Aerius,"desloratadine (INN), เดสลอราทาดีน (RDU)"
20000150,Polidocanol Inj 1% 2 mL [Aethoxysklerol],Polidocanol,Aethoxysklerol,
20000154,"Ispaghula husk,comb Granules 100 g [Agiolax]","Plantago ovata,Ispaghula husk,Senna pods",Agiolax,
20000179,Aluminium hydroxide Tab 500 mg [ACDHON],Aluminium hydroxide,Aluminium Hydroxide,
20000180,Glimepiride Tab 2 mg [Amaryl],Glimepiride,Amaryl,"glimepiride (INN), กลัยเมพิไรด์ (RDU)"
20000181,"Amphotericin B,liposomal Inj 50 mg [AmBisome]",Amphotericin B (liposomal),AmBisome,amphotericin B (INN)
20000186,Amino acids Inf 10% 500 mL [Aminoven],Amino acids,Aminoven,
20000189,Amikacin Inj 250 mg/2 mL [Siamik],Amikacin,Siamik,amikacin (INN)
20000190,Amikacin Inj 500 mg/2 mL [Siamik],Amikacin,Siamik,amikacin (INN)
20000191,Aminophylline Inj 250 mg/10 mL [Aminophylline],Aminophylline,Aminophylline ATC,aminophylline (INN)
20000192,Aminoleban-Oral Powder 450 g,Nutrition Adult (Hepatic Impairment F.),Aminoleban,
20000193,Essential Amino acids Granules 2.5 g [Amiyu],Essential amino acids,Amiyu,
20000197,Aminophylline Tab 100 mg [Aminophylline],Aminophylline,Aminophylline ANH,aminophylline (INN)
20000199,Amlodipine Tab 10 mg [AmLopine],Amlodipine,Amlopine,"amlodipine (INN), แอมโลดิปีน (RDU)"
20000200,Amlodipine Tab  5 mg [AmLopine],Amlodipine,Amlopine,"amlodipine (INN), แอมโลดิปีน (RDU)"
20000207,Co-amoxiclav Tab 1 g [Cavumox],Amoxicillin and Clavulanate,Cavumox,"co-amoxiclav, อะม็อกซีซิลลิน+คลาวูลาเนต (RDU)"
20000223,Bisoprolol+HCTZ Tab [Lodoz 2.5/6.25],Bisoprolol and HCTZ,Lodoz,
20000226,Testosterone Cap 40 mg [Andriol Testocaps],Testosterone,Andriol Testocaps,testosterone (INN)
20000227,Cyproterone Tab 50 mg [Androcur],Cyproterone,Androcur,cyproterone (INN)
20000228,Flumazenil Inj 0.5 mg/5 mL 5 mL [Anexate],Flumazenil,Anexate,flumazenil (INN)
20000229,"Aluminium hydroxide,comb Susp 240 mL [Antacil]",Antacids and Simethicone,Antacil,
20000234,Carmustine inj 100 mg [BiCNU],Carmustine,BiCNU,carmustine (INN)
20000236,Irbesartan Tab 150 mg [Aprovel],Irbesartan,Aprovel,irbesartan (INN)
20000237,Irbesartan Tab 300 mg [Aprovel],Irbesartan,Aprovel,irbesartan (INN)
20000238,Irbesartan+HCTZ Tab [Co-Aprovel 150/12.5],Irbesartan and HCTZ,Co-Aprovel,
20000239,Irbesartan+HCTZ Tab [Co-Aprovel 300/12.5],Irbesartan and HCTZ,Co-Aprovel,
20000241,Leflunomide Tab 20 mg [Arava],Leflunomide,Arava,leflunomide (INN)
20000242,Donepezil Tab  5 mg [Aricept],Donepezil,Aricept,donepezil (INN)
20000243,Donepezil Tab 10 mg [Aricept],Donepezil,Aricept,donepezil (INN)
20000244,Artesunate Inj 60 mg [Artesunate],Artesunate,Artesunate,"artesunate (INN, USAN)"
20000245,Artesunate Tab 50 mg [Artesunate],Artesunate,Artesunate,"artesunate (INN, USAN)"
20000247,Carteolol Eye Drop 2% 5 mL [Arteoptic],Carteolol,Arteoptic,carteolol (INN)
20000253,Hydroxyzine Tab 10 mg [Atarax],Hydroxyzine,Atarax,hydroxyzine (INN)
20000255,Atenolol Tab 100 mg [Prenolol],Atenolol,Prenolol,"TENORMIN, atenolol (INN)"
20000256,Atenolol Tab  25 mg [Prenolol],Atenolol,Prenolol,"TENORMIN, atenolol (INN)"
20000257,Atenolol Tab  50 mg [Prenolol],Atenolol,Prenolol,"TENORMIN, atenolol (INN)"
20000259,Atropine Inj 0.6 mg/mL [Atropine GPO],Atropine,Atropine GPO,"atropine (INN, USAN)"
20000262,Atropine Eye Drop 1% 5 mL [Isopto Atropine],Atropine,Isopto Atropine,"atropine (INN, USAN)"
20000269,Co-amoxiclav Susp 457 mg/5 mL 70 mL [Augmentin],Amoxicillin and Clavulanate,Augmentin,"co-amoxiclav, อะม็อกซีซิลลิน+คลาวูลาเนต (RDU)"
20000271,Co-amoxiclav Tab 1 g [Augmentin],Amoxicillin and Clavulanate,Augmentin,"co-amoxiclav, อะม็อกซีซิลลิน+คลาวูลาเนต (RDU)"
20000272,Co-amoxiclav Tab  625 mg [Augmentin],Amoxicillin and Clavulanate,Augmentin,"co-amoxiclav, อะม็อกซีซิลลิน+คลาวูลาเนต (RDU)"
20000273,Moclobemide Tab 150 mg [Aurorix],Moclobemide,Aurorix,moclobemide (INN)
20000274,Hepatitis A Vaccine 160 IU/0.5 mL [Avaxim],Hepatitis A (inactivated whole virus),Avaxim,
20000277,Moxifloxacin Inj 400 mg/250 mL [Avelox],Moxifloxacin,Avelox,"moxifloxacin (INN), ม็อกซิฟล็อกซาซิน (RDU)"
20000278,Moxifloxacin Tab 400 mg [Avelox],Moxifloxacin,Avelox,"moxifloxacin (INN), ม็อกซิฟล็อกซาซิน (RDU)"
20000280,Brinzolamide Eye Drop 1% 5 mL [Azopt],Brinzolamide,Azopt,brinzolamide (INN)
20000281,Zidovudine (AZT) Syrup 50 mg/5 mL 60 mL [Antivir],Zidovudine,Antivir,"zidovudine (INN, BAN, USAN), azidothymidine, AZT"
20000284,Zidovudine (AZT) Cap 100 mg [TO-VIR],Zidovudine,TO-VIR,"zidovudine (INN, BAN, USAN), azidothymidine, AZT"
20000285,Zidovudine (AZT) Cap 250 mg [TO-VIR],Zidovudine,TO-VIR,"zidovudine (INN, BAN, USAN), azidothymidine, AZT"
20000286,Zidovudine (AZT) Cap 300 mg [Antivir],Zidovudine,Antivir,"zidovudine (INN, BAN, USAN), azidothymidine, AZT"
20000288,Vitamin B12 Inj 1000 mcg/mL [Ampavit],Cyanocobalamin (Vitamin B12),Ampavit,"cyanocobalamin (INN), vitamin B12"
20000292,Baclofen Tab 10 mg [Fenisal],Baclofen,Fenisal,baclofen (INN)
20000293,Mupirocin Oint 2% 5 g [Bactroban],Mupirocin,Bactroban,mupirocin (INN)
20000295,Bambuterol Tab 10 mg [Bambec],Bambuterol,Bambec,bambuterol (INN)
20000297,Voglibose Tab 0.2 mg [Basen FDT],Voglibose,Basen,voglibose (INN)
20000298,Voglibose Tab 0.3 mg [Basen FDT],Voglibose,Basen,voglibose (INN)
20000303,Beclometasone Easyhaler 200 mcg 200 D [Beclomet],Beclometasone (Beclomethasone),Beclomet Easyhaler,beclometasone (INN)
20000304,Beclometasone Nasal Spray 100 mcg 200 D [Beclomet Aqua],Beclometasone (Beclomethasone),Beclomet Aqua,beclometasone (INN)
20000308,Diphenhydramine Cap 25 mg [Benadryl],Diphenhydramine,Benadryl,diphenhydramine (INN)
20000311,Benzoyl Peroxide Gel 2.5% 1 g [Benzac AC],Benzoyl peroxide,Benzac AC,
20000312,Benzoyl Peroxide Gel 5% 1 g [Benzac AC],Benzoyl peroxide,Benzac AC,
20000313,Dicyclomine+Simethicone Syrup 60 mL [Berclomine],Dicyclomine and Simethicone,Berclomine,
20000314,Dicyclomine+Simethicone Tab [Berclomin],Dicyclomine and Simethicone,Berclomine,
20000315,Ipratropium+Fenoterol Nebule 4 mL [Berodual Forte],Ipratropium and Fenoterol,Berodual Forte,
20000316,Ipratropium+Fenoterol Inhaler 200 D [Berodual],Ipratropium and Fenoterol,Berodual,
20000318,Interferon beta-1b Inj 250 mcg (8 MIU) [Betaferon],Interferon beta-1b,Betaferon,
20000319,Bethanechol Tab 10 mg [Ucholine],Bethanechol,Ucholine,
20000320,Bethanechol Tab  5 mg [Ucholine],Bethanechol,Ucholine,
20000322,Betamethasone dipropionate Cream 15 g [Betapro],Betamethasone dipropionate,Betapro,
20000325,Betaxolol Eye Drop 0.25% 5 mL [Betoptic S],Betaxolol,Betoptic S,betaxolol (INN)
20000327,Betamethasone Scalp Lotion 0.1% 30 mL [Betnovate],Betamethasone valerate,Betnovate,
20000328,Betamethasone Cream 0.1% 15 g [Betnovate],Betamethasone valerate,Betnovate,
20000329,Betamethasone Cream 0.1%  5 g [Betnovate],Betamethasone valerate,Betnovate,
20000335,Coenzyme Q10 Cap 30 mg [Bio-Quinone Q10],Coenzyme Q10 (Ubidecarenone; Ubiquinone),Bio-Quinone Q10,"ubidecarenone (INN, BAN), ubiquinone"
20000336,Vitamin B Complex+Vit C Tab [Biotaplex-BC],Vitamin B Complex with Vitamin C,Biotaplex-BC,
20000339,Bisacodyl Rectal Suppo 10 mg (1 piece) [Conlax],Bisacodyl,Conlax,bisacodyl (INN)
20000342,Candesartan Tab 16 mg [Blopress],Candesartan,Blopress,candesartan (INN)
20000343,Candesartan Tab  8 mg [Blopress],Candesartan,Blopress,candesartan (INN)
20000344,Candesartan+HCTZ Tab [Blopress Plus  8/12.5],Candesartan and HCTZ,Blopress Plus,
20000347,Alfacalcidol Tab 0.5 mcg [Bon-One],Alfacalcidol (1-Hydroxyvitamin D3),Bon-One,"alfacalcidol (INN), 1-Hydroxyvitamin D3"
20000348,"dTPa,booster Vaccine 0.5 mL [Boostrix] (ยาแทนชั่วคราว)","DTPa (Diphtheria,Tetanus,Pertussis)",Boostrix,DTPa
20000350,Benzoyl Peroxide Cream 4% 1 g [Brevoxyl],Benzoyl peroxide,Brevoxyl,
20000355,Oxybutynin SR Tab  5 mg [Lyrinel],Oxybutynin,Lyrinel,"oxybutynin (INN, USAN)"
20000360,Bromhexine Syrup 4 mg/5 mL 60 mL [Dutross],Bromhexine,Dutross,"BISOLVON, bromhexine (INN)"
20000361,Bromocriptine Tab 2.5 mg [Bromergon],Bromocriptine,Bromergon,bromocriptine (INN)
20000362,Bromhexine Tab 8 mg [Disol],Bromhexine,Disol,"BISOLVON, bromhexine (INN)"
20000363,Acetylcysteine Eye Drop 5% 5 mL [Brunac],Acetylcysteine,Brunac,acetylcysteine (INN)
20000364,Balance salt Eye Soln 15 mL [BSS],Balance salt solution (BSS),BSS,
20000365,Balance salt Eye Soln 500 mL [BSS],Balance salt solution (BSS),BSS,
20000366,Balance salt Eye Soln 500 mL [BSS Plus],Balance salt and Glutathione,BSS Plus,
20000367,Budesonide Inhaler 200 mcg 200 D [Budecort],Budesonide,Budecort,budesonide (INN)
20000369,Hyoscine Tab 10 mg [Buscopan],Butylscopolamine (Hyoscine butylbromide),Buscopan,"scopolamine (INN, USAN), hyoscine (BAN)"
20000370,Salbutamol Easyhaler 200 mcg 200 D [Buventol],Salbutamol (Albuterol),Buventol Easyhaler,"salbutamol (INN), albuterol (USAN)"
20000375,Calcium gluconate Inj 10% 10 mL [Calcium gluconate],Calcium gluconate,Calcium gluconate GPO,
20000377,Calcium carbonate Tab  600 mg [Caltab],Calcium carbonate,Caltab,
20000379,Calcium lactate Tab 300 mg [Calion],Calcium lactate,Calion,
20000380,Calcium+Vitamins Tab [Caltrate Plus],"Calcium, Vitamin D and Minerals",Caltrate Plus,
20000381,"Calcium carbonate,comb Tab (20 Tab) [Calcium Sandoz Forte]","Ca lactate, Ca gluconate",Calcium Sandoz Forte,
20000382,Calcium acetate Tab 1 g [Calcetate],Calcium acetate,Calcetate,
20000383,Caspofungin Inj 50 mg [Cancidas],Caspofungin,Cancidas,caspofungin (INN)
20000384,Caspofungin Inj 70 mg [Cancidas],Caspofungin,Cancidas,caspofungin (INN)
20000385,Clotrimazole Lozenge Tab 10 mg [Candinas Troche],Clotrimazole,Candinas Troche,clotrimazole (INN)
20000386,Clotrimazole Ear Drop 1% 15 mL [Candid],Clotrimazole,Candid,clotrimazole (INN)
20000387,Clotrimazole Cream 10 g [Canasone],Clotrimazole,Canasone,clotrimazole (INN)
20000390,Clotrimazole Vaginal Tab 100 mg (6 Tab) [Canesten],Clotrimazole,Canesten,clotrimazole (INN)
20000399,Captopril Tab 12.5 mg [Capril],Captopril,Capril,"captopril (INN), แคปโทพริล (RDU)"
20000400,Captopril Tab 25 mg [Capril],Captopril,Capril,"captopril (INN), แคปโทพริล (RDU)"
20000401,Nicardipine Inj 10 mg/10 mL [Cardepine],Nicardipine,Cardepine,nicardipine (INN)
20000402,Nicardipine Inj  2 mg/2 mL [Cardepine],Nicardipine,Cardepine,nicardipine (INN)
20000405,Carbocisteine Syrup 100 mg/5 mL 60 mL [Cisteine],Carbocisteine,Cisteine,carbocisteine (INN)
20000406,Carbocisteine Syrup 250 mg/5 mL 60 mL [Mucomex],Carbocisteine,Mucomex,carbocisteine (INN)
20000407,Carbocisteine Tab 375 mg [Throatsil-CBS],Carbocisteine,Throatsil-CBS,carbocisteine (INN)
20000408,Aspirin dispersible Tab 100 mg [Cardiprin],Aspirin,Cardiprin,"aspirin (BAN, USAN), acetylsalicylic acid, ASA, แอสไพริน (RDU)"
20000410,Carbamazepine CR Tab 200 mg [Zeptol CR],Carbamazepine,Zeptol CR,carbamazepine (INN)
20000411,Carbamazepine CR Tab 400 mg [Zeptol CR],Carbamazepine,Zeptol CR,carbamazepine (INN)
20000417,Pirenoxine Eye Drop 0.75 mg 15 mL [Catalin],Pirenoxine,Catalin,pirenoxine (INN)
20000419,Co-amoxiclav Tab  375 mg [Cavumox],Amoxicillin and Clavulanate,Cavumox,"co-amoxiclav, อะม็อกซีซิลลิน+คลาวูลาเนต (RDU)"
20000420,Co-amoxiclav Tab  625 mg [Cavumox],Amoxicillin and Clavulanate,Cavumox,"co-amoxiclav, อะม็อกซีซิลลิน+คลาวูลาเนต (RDU)"
20000422,Dexa+Chloram+tetrahydrozoline EyeDrop5mL [CD-Oph],"Dexamethasone,Chloramph,Tetrahydrozoline",CD-Oph,
20000423,Calcium+Vitamins Tab (10 Tab) [CDR],"Calcium, Vit C, Vit B6, Vit D3",CDR,
20000424,Chlordiazepoxide+Clidinium Tab [Cebarax],Clidinium and Chlordiazepoxide,Cebarax,
20000425,Ceftibuten Susp 36 mg/mL 30 mL [Cedax],Ceftibuten,Cedax,"ceftibuten (INN), เซฟติบูเทน (RDU)"
20000427,Ceftriaxone IM Inj  500 mg [Cef-3],Ceftriaxone with Lidocaine,Cef-3,
20000432,Ceftazidime Inj 1 g [Zeftam M.H.],Ceftazidime,Zeftam M.H.,"FORTUM, ceftazidime (INN)"
20000433,Cefotaxime Inj 1 g [Claraxim],Cefotaxime,Claraxim,"CLAFORAN, cefotaxime (INN)"
20000434,Cefotaxime Inj  500 mg [Claraxim],Cefotaxime,Claraxim,"CLAFORAN, cefotaxime (INN)"
20000435,Ceftriaxone IV Inj 1 g [Zefaxone] (รายการยาสำรอง),Ceftriaxone,Zefaxone,ceftriaxone (INN)
20000436,Ceftriaxone IM Inj 1 g [Ceftrex],Ceftriaxone with Lidocaine,Ceftrex,
20000437,Ceftriaxone IV Inj  500 mg [Cef-3],Ceftriaxone,Cef-3,ceftriaxone (INN)
20000439,Cefuroxime Inj 750 mg [Furoxime],Cefuroxime,Furoxime,"cefuroxime (INN), เซฟูร็อกซีม (RDU)"
20000441,Cefazolin Inj 1 g [Zefa M.H.],Cefazolin,Zefa M.H.,cefazolin (INN)
20000442,Cefixime Susp 100 mg/5 mL 30 mL [Cefspan],Cefixime,Cefspan,"cefixime (INN), เซฟิซีม (RDU)"
20000443,Cefixime Cap 100 mg [Cefspan],Cefixime,Cefspan,"cefixime (INN), เซฟิซีม (RDU)"
20000444,Cefuroxime Tab 250 mg [Magnaspor],Cefuroxime,Magnaspor,"cefuroxime (INN), เซฟูร็อกซีม (RDU)"
20000445,Cefuroxime Tab 500 mg [Furoxime],Cefuroxime,Furoxime,"cefuroxime (INN), เซฟูร็อกซีม (RDU)"
20000448,Celecoxib Cap 200 mg [Celebrex],Celecoxib,Celebrex,"celecoxib (INN), ซีเลค็อกซิบ (RDU)"
20000449,Mycophenolic mofetil Cap 250 mg [Cellcept],Mycophenolate mofetil,CellCept,
20000450,Raloxifene Tab 60 mg [Celvista],Raloxifene,Celvista,raloxifene (INN)
20000451,Carboxymethylcellulose Eye Drop (30) [Cellufresh],Carboxymethylcellulose (w/o preserv),Cellufresh,"carmellose (INN, BAN), carboxymethylcellulose (USAN), CMC"
20000452,Carboxymethylcellulose Eye Drop 15 mL [Cellufresh MD],Carboxymethylcellulose,Cellufresh MD,"carmellose (INN, BAN), carboxymethylcellulose (USAN), CMC"
20000455,Cefalexin Cap 250 mg [Sialexin],Cephalexin (Cefalexin),Sialexin,"cefalexin (INN), เซฟาเล็กซิน (RDU)"
20000457,Multivitamins Inj [Cernevit],Multivitamins,Cernevit,MTV
20000458,Trimebutine Tab 100 mg [Cerekinon],Trimebutine,Cerekinon,trimebutine (INN)
20000459,Cetrorelix Inj 0.25 mg [Cetrotide],Cetrorelix,Cetrotide,cetrorelix (INN)
20000460,Cetirizine Syrup 5 mg/5 mL 100 mL [Cettec],Cetirizine,Cettec,"cetirizine (INN), เซททิริซิน (RDU)"
20000463,Cleansing Lotion 250 mL [Cetaphil Gentle Skin Cleanser],Cleanser,Cetaphil,
20000464,"Charcoal,activated Powder 50 g [Activated Charcoal]",Charcoal activated,Activated Charcoal GPO,
20000465,Calcium carbonate Cap  350 mg [Chalkcap],Calcium carbonate,Chalkcap,
20000469,Chlorpromazine Inj 50 mg/2 mL [Chlorpromazine],Chlorpromazine,Chlorpromazine GPO,chlorpromazine (INN)
20000473,Chloroquine Tab 250 mg [Nitaquin],Chloroquine,Nitaquin,"ARALEN, chloroquine (INN)"
20000475,Chlorpromazine Tab 100 mg [Matcine],Chlorpromazine,Matcine,chlorpromazine (INN)
20000476,Chlorpromazine Tab  25 mg [Matcine],Chlorpromazine,Matcine,chlorpromazine (INN)
20000477,Chlorpromazine Tab  50 mg [Matcine],Chlorpromazine,Matcine,chlorpromazine (INN)
20000478,Chloramphenicol Eye Oint 1% 5 g [Chlor-Oph],Chloramphenicol,ChlorOph,chloramphenicol (INN)
20000482,Colestyramine Powder 4 g [Resincolestiramina],Colestyramine,Resincolestiramina,colestyramine (INN)
20000485,Cinnarizine Tab 25 mg [Siarizine],Cinnarizine,Siarizine,cinnarizine (INN)
20000488,Ciprofloxacin Inj 400 mg/200 mL [Ciprobay],Ciprofloxacin,Ciprobay,"ciprofloxacin (INN), ไซโพรฟล็อกซาซิน (RDU)"
20000490,Ciprofloxacin Inj 400 mg/200 mL [Cifloxin],Ciprofloxacin,Cifloxin,"ciprofloxacin (INN), ไซโพรฟล็อกซาซิน (RDU)"
20000493,Ciprofloxacin Tab 500 mg [Ciprobay],Ciprofloxacin,Ciprobay,"ciprofloxacin (INN), ไซโพรฟล็อกซาซิน (RDU)"
20000494,Ciprofloxacin Tab 250 mg [Cifloxin],Ciprofloxacin,Cifloxin,"ciprofloxacin (INN), ไซโพรฟล็อกซาซิน (RDU)"
20000499,Loratadine Tab 10 mg [Clarityne],Loratadine,Clarityne,"loratadine (INN), ลอราทาดีน (RDU)"
20000503,Enoxaparin (PFS) Inj 40 mg/0.4 mL [Clexane],Enoxaparin,Clexane,"enoxaparin (INN, USAN)"
20000504,Enoxaparin (PFS) Inj 60 mg/0.6 mL [Clexane],Enoxaparin,Clexane,"enoxaparin (INN, USAN)"
20000511,Sulindac Tab 200 mg [Clinoril],Sulindac,Clinoril,"sulindac (INN), ซูลินแด็ค (RDU)"
20000512,Clindamycin Cap 150 mg [Clinott],Clindamycin,Clinott,"clindamycin (INN), คลินดามัยซิน (RDU)"
20000514,Estradiol Patch 3.8 mg [Climara-50],Estradiol (Oestradiol),Climara-50,"estradiol (INN), oestradiol"
20000517,Zuclopenthixol IM inj 100 mg/2 mL [Clopixol Acuphase],Zuclopenthixol,Clopixol Acuphase,zuclopenthixol (INN)
20000523,Clomiphene Tab 50 mg [Clomid],Clomifene,Clomid,clomifene (INN)
20000524,Clomipramine Tab 10 mg [Inaryl],Clomipramine,Inaryl,clomipramine (INN)
20000525,Clomipramine Tab 25 mg [Inaryl],Clomipramine,Inaryl,clomipramine (INN)
20000526,Clonazepam Tab 2 mg [Prenarpil],Clonazepam,Prenarpil,clonazepam (INN)
20000527,Clonazepam Tab 0.5 mg [Prenarpil],Clonazepam,Prenarpil,clonazepam (INN)
20000528,Clomiphene Tab 50 mg [Ovamit],Clomifene,Ovamit,clomifene (INN)
20000531,Clozapine Tab 100 mg [Clopaze],Clozapine,Clopaze,clozapine (INN)
20000532,Clozapine Tab  25 mg [Clopaze],Clozapine,Clopaze,clozapine (INN)
20000535,Clobetasol Cream 0.05%  1 g [Clobetate],Clobetasol,Clobetate,clobetasol (INN)
20000536,Clotrimazole Vaginal Tab 100 mg (6 Tab) [Candinas],Clotrimazole,Candinas,clotrimazole (INN)
20000537,Clotrimazole Vaginal Tab 200 mg (3 Tab) [Fungicon],Clotrimazole,Fungicon,clotrimazole (INN)
20000540,Codeine Tab 15 mg [Codeine GPO],Codeine,Codeine GPO,
20000542,Codeine+Glyceryl guaiacolate Cap [Codepect],Codeine and Guaifenesin,Codepect,
20000543,Codeine+Phenyltoloxamine SR Cap [Codipront],Codeine and Phenyltoloxamine,Codipront,
20000544,Valsartan+HCTZ Tab [Co-Diovan  80/12.5],Valsartan and HCTZ,Co-Diovan,
20000545,Valsartan+HCTZ Tab [Co-Diovan 160/25],Valsartan and HCTZ,Co-Diovan,
20000549,Colchicine Tab 0.6 mg [Colchicine],Colchicine,Colchicine,โคลชิซีน (RDU)
20000550,Mebeverine Tab 135 mg [Colofac],Mebeverine,Colofac,mebeverine (INN)
20000551,Peppermint oil Cap 187 mg [Colpermin],Peppermint oil,Colpermin,
